Gene name	Transcript stable ID	Chromosome/scaffold name	Transcript start (bp)	Transcript end (bp)
NAGK	ENST00000478659	2	71072285	71075651
COG2	ENST00000478710	1	230689961	230691819
NEU1	ENST00000478758	CHR_HSCHR6_MHC_SSTO_CTG1	31851744	31855497
SULF2	ENST00000478766	20	47706513	47736943
GUSB	ENST00000479038	7	65974357	65980411
RPN1	ENST00000479113	3	128637820	128642564
B4GALT4	ENST00000479150	3	119226939	119240878
PIGP	ENST00000479152	21	37069267	37072723
ST3GAL3	ENST00000479383	1	43707558	43838261
GLA	ENST00000479445	X	101401370	101407887
B3GNT7	ENST00000479618	2	231397176	231398257
UXS1	ENST00000479621	2	106145190	106160397
NEU1	ENST00000479695	CHR_HSCHR6_MHC_MCF_CTG1	31934136	31939273
NPL	ENST00000479721	1	182789773	182816747
UXS1	ENST00000479774	2	106145190	106160112
NAGK	ENST00000479854	2	71071549	71076641
MAN1B1	ENST00000480100	9	137104426	137109181
TPST1	ENST00000480281	7	66205334	66359473
SLC35C2	ENST00000480329	20	46350355	46355195
NEU1	ENST00000480384	6	31859052	31862805
NAGK	ENST00000480411	2	71068650	71071138
ST6GALNAC6	ENST00000480417	9	127887535	127899606
PIGQ	ENST00000480424	16	578927	584108
ST6GALNAC5	ENST00000480428	1	76867480	76871383
GMPPA	ENST00000480506	2	219498884	219502441
GLA	ENST00000480513	X	101397936	101408012
GMPPB	ENST00000480687	3	49716844	49723951
B4GALT4	ENST00000480814	3	119211779	119237071
EOGT	ENST00000480846	3	68982737	68987859
NANS	ENST00000480925	9	98056770	98061259
CTSA	ENST00000480961	20	45893988	45895250
POMGNT1	ENST00000480972	1	46189519	46190972
GALNT14	ENST00000481023	2	30932167	30991209
DPAGT1	ENST00000481084	11	119096511	119102142
RPN1	ENST00000481168	3	128644515	128650821
GMPPA	ENST00000481170	2	219499775	219506987
SLC35E2B	ENST00000481276	1	1670425	1692709
ST6GALNAC6	ENST00000481355	9	127894522	127899416
EXTL1	ENST00000481377	1	26019884	26031547
HYAL2	ENST00000481597	3	50318589	50322741
GALE	ENST00000481736	1	23795599	23800781
MGAT5	ENST00000481801	2	134119983	134254606
SLC35C2	ENST00000481809	20	46352150	46364381
B4GALT2	ENST00000481924	1	43984865	43986206
GMPPB	ENST00000481959	3	49722732	49723943
SLC17A5	ENST00000481996	6	73635233	73644463
COG2	ENST00000482012	1	230684323	230688528
UGT1A3	ENST00000482026	2	233729108	233773299
ALG3	ENST00000482048	3	184245067	184248929
GLB1	ENST00000482097	3	33021627	33097118
FPGT	ENST00000482102	1	74198242	74204491
PIGA	ENST00000482148	X	15321427	15335503
CHPF2	ENST00000482173	7	151232489	151235269
PMM1	ENST00000482178	22	41576903	41585402
COG4	ENST00000482252	16	70480574	70523531
PAPSS2	ENST00000482258	10	87660984	87713310
B4GALT3	ENST00000482288	1	161175808	161177497
NEU1	ENST00000482297	CHR_HSCHR6_MHC_MANN_CTG1	31897282	31902419
ALG13	ENST00000482374	X	111681192	111688134
GAL3ST4	ENST00000482469	7	100166533	100168069
OGA	ENST00000482611	10	101786134	101799332
SLC35D2	ENST00000482643	9	96345395	96383680
UGP2	ENST00000482668	2	63840969	63882557
ALG13	ENST00000482742	X	111681663	111688040
MAN1A2	ENST00000482811	1	117367943	117420630
GALNT11	ENST00000482812	7	152025674	152103277
HK1	ENST00000483054	10	69278528	69343890
HK1	ENST00000483077	10	69270005	69360016
UGP2	ENST00000483108	2	63841004	63882503
B4GALT4	ENST00000483209	3	119211732	119240639
UXS1	ENST00000483426	2	106145269	106194299
ST6GALNAC4	ENST00000483438	9	127912387	127914866
UGP2	ENST00000483461	2	63840993	63882720
PGM1	ENST00000483707	1	63651355	63654445
HYAL4	ENST00000483878	7	123848134	123877185
ST3GAL6	ENST00000483910	3	98732255	98794362
B3GALNT1	ENST00000484127	3	161086631	161105261
SLC35C2	ENST00000484318	20	46352123	46364390
EXTL1	ENST00000484339	1	26023189	26031555
CHST10	ENST00000484382	2	100397908	100417454
GBA	ENST00000484489	1	155235016	155241231
ST3GAL5	ENST00000484728	2	85860922	85888916
UGT1A6	ENST00000484784	2	233693665	233767159
CTSA	ENST00000484855	20	45896381	45898820
ST3GAL3	ENST00000484868	1	43707640	43772734
SULF2	ENST00000484875	20	47657406	47786616
MGAT4A	ENST00000484936	2	98663078	98726881
NAGK	ENST00000484984	2	71068622	71073131
SLC35A5	ENST00000484995	3	112561709	112580559
UGT1A7	ENST00000485022	2	233682368	233692347
ST3GAL6	ENST00000485145	3	98771055	98788438
POMT1	ENST00000485278	9	131510500	131523798
ST6GALNAC6	ENST00000485320	9	127885326	127899574
ST3GAL6	ENST00000485391	3	98763340	98788459
GALNT2	ENST00000485438	1	230255358	230282120
GALT	ENST00000485531	9	34646845	34648376
CTSA	ENST00000485627	20	45892306	45894329
PMM1	ENST00000485648	22	41576937	41589818
B4GALT2	ENST00000485678	1	43980018	43985399
GLB1	ENST00000485698	3	33024247	33097146
POMGNT1	ENST00000485714	1	46190117	46193800
GCNT2	ENST00000485764	6	10529797	10626464
ALG3	ENST00000485912	3	184242459	184243589
MOGS	ENST00000486036	2	74464417	74465400
GLA	ENST00000486121	X	101397936	101407833
NEU1	ENST00000486127	CHR_HSCHR6_MHC_QBL_CTG1	31849431	31853201
ST3GAL6	ENST00000486249	3	98732450	98795845
ST3GAL6	ENST00000486334	3	98732691	98788402
ALG13	ENST00000486353	X	111681198	111708998
GALE	ENST00000486382	1	23798120	23799113
GALNT14	ENST00000486564	2	30910699	30955684
LAMP2	ENST00000486593	X	120431248	120449068
ALG12	ENST00000486602	22	49903650	49907918
POGLUT1	ENST00000486607	3	119468963	119492477
LAMP3	ENST00000486686	3	183158113	183163838
POFUT1	ENST00000486717	20	32207935	32234568
MAN2B1	ENST00000486847	19	12663435	12666742
NEU1	ENST00000486872	CHR_HSCHR6_MHC_APD_CTG1	31924682	31929819
B4GALT3	ENST00000486938	1	161171966	161172410
B4GALT3	ENST00000487004	1	161175052	161177149
UGP2	ENST00000487042	2	63842441	63885721
GALNT13	ENST00000487047	2	154257567	154438676
ALG6	ENST00000487136	1	63367650	63402342
ALG13	ENST00000487141	X	111665811	111713297
NEU1	ENST00000487340	CHR_HSCHR6_MHC_MANN_CTG1	31898675	31902439
GALT	ENST00000487381	9	34646679	34648826
UGP2	ENST00000487469	2	63841008	63886512
MAN1C1	ENST00000487493	1	25780714	25784292
UGP2	ENST00000487640	2	63841132	63862900
SLC35C2	ENST00000487729	20	46350771	46357701
GBGT1	ENST00000487864	9	133161048	133163901
B3GALNT1	ENST00000488170	3	161085759	161105140
OGT	ENST00000488174	X	71533104	71574655
UGP2	ENST00000488245	2	63841902	63882649
MGAT5	ENST00000488365	2	134253104	134254514
NPL	ENST00000488424	1	182789293	182830384
UGGT1	ENST00000488439	2	128145652	128160549
CTNS	ENST00000488623	17	3636739	3661371
SLC35E1	ENST00000488894	19	16565228	16572209
GALNT2	ENST00000488903	1	230067259	230092033
ST6GALNAC5	ENST00000488940	1	76995457	77050316
ALG3	ENST00000488976	3	184244778	184248962
NEU4	ENST00000488997	2	241811425	241814982
ALG13	ENST00000489033	X	111681216	111688219
ST3GAL6	ENST00000489112	3	98732236	98772969
GCNT2	ENST00000489225	6	10492224	10626972
FUT11	ENST00000489264	10	73773605	73780251
NAGK	ENST00000489309	2	71068978	71078636
UGCG	ENST00000489355	9	111897177	111914993
GUSB	ENST00000489482	7	65974404	65975006
MFNG	ENST00000489515	22	37469068	37472724
GALNT13	ENST00000489553	2	154441721	154450801
NEU1	ENST00000489619	CHR_HSCHR6_MHC_MCF_CTG1	31935529	31939282
GALT	ENST00000489643	9	34646675	34650116
MOGS	ENST00000489655	2	74462794	74463637
GCNT2	ENST00000489819	6	10521420	10626557
ST3GAL3	ENST00000489897	1	43707545	43930221
POMGNT1	ENST00000489985	1	46195484	46198102
UGCG	ENST00000490110	9	111897201	111926426
GALNT14	ENST00000490212	2	30966272	31129640
ST3GAL3	ENST00000490502	1	43899588	43930176
ST3GAL3	ENST00000490541	1	43736263	43930221
SLC35D2	ENST00000490599	9	96320998	96360192
GLB1	ENST00000490658	3	33045606	33046192
ST3GAL6	ENST00000490684	3	98763321	98773105
IDS	ENST00000490775	X	149487160	149503388
KHK	ENST00000490823	2	27086784	27099901
COG2	ENST00000490900	1	230687990	230690319
CMAHP	ENST00000490939	6	25086617	25108682
ST3GAL5	ENST00000490946	2	85861282	85866200
GALNT11	ENST00000491061	7	152107250	152119710
GBA	ENST00000491081	1	155236182	155238709
XXYLT1	ENST00000491138	3	195070037	195209866
UGGT2	ENST00000491509	13	95867339	95894570
UGP2	ENST00000491621	2	63846074	63885684
NEU1	ENST00000491768	6	31859052	31862822
B4GALT4	ENST00000491906	3	119226809	119240878
ST3GAL6	ENST00000491912	3	98791859	98820997
ALG13	ENST00000492038	X	111681194	111688642
MGAT4A	ENST00000492163	2	98645456	98663473
ST3GAL6	ENST00000492254	3	98763353	98788426
B3GALNT1	ENST00000492353	3	161086559	161105289
SLC35A5	ENST00000492406	3	112562045	112585579
SULT1C2	ENST00000492554	2	108293687	108294263
ALG12	ENST00000492791	22	49903961	49910088
NEU1	ENST00000492929	CHR_HSCHR6_MHC_COX_CTG1	31846589	31850342
NAGK	ENST00000493102	2	71068631	71075807
B4GALT3	ENST00000493164	1	161174907	161177494
MAN2B1	ENST00000493218	19	12646513	12647673
UGP2	ENST00000493222	2	63841010	63882606
CMAHP	ENST00000493257	6	25081803	25106450
NEU1	ENST00000493354	CHR_HSCHR6_MHC_QBL_CTG1	31848038	31853175
PMM1	ENST00000493389	22	41586106	41589829
CTSA	ENST00000493522	20	45892961	45897794
POFUT2	ENST00000493524	21	45269841	45287896
HK1	ENST00000493591	10	69318853	69401864
GFPT1	ENST00000493759	2	69350098	69363592
POFUT2	ENST00000493811	21	45282369	45287891
GBA	ENST00000493842	1	155238213	155244636
LFNG	ENST00000493850	7	2523593	2526871
GLA	ENST00000493905	X	101397803	101407908
B4GALT4	ENST00000493932	3	119229975	119240664
ST3GAL6	ENST00000493953	3	98784430	98791997
CMAHP	ENST00000493981	6	25105812	25109526
HS6ST1	ENST00000494089	2	128289645	128318472
GALNT2	ENST00000494106	1	230057990	230243427
SULT1C4	ENST00000494122	2	108377911	108382922
B3GALNT1	ENST00000494173	3	161085476	161105261
XXYLT1	ENST00000494175	3	195180394	195260080
HK1	ENST00000494253	10	69338020	69386791
COG2	ENST00000494371	1	230642489	230683428
B3GALNT2	ENST00000494378	1	235478908	235504425
UGP2	ENST00000494536	2	63856254	63882758
ST6GALNAC6	ENST00000494541	9	127890698	127899604
SLC35A5	ENST00000494706	3	112564128	112582730
DPM1	ENST00000494752	20	50934896	50945861
LARGE1	ENST00000494763	22	33650440	33922596
ALG6	ENST00000494765	1	63428453	63437133
GALNT13	ENST00000494805	2	154446478	154450694
B3GALNT1	ENST00000494818	3	161085310	161105288
ARSD	ENST00000494870	X	2920381	2929279
POMT1	ENST00000494883	9	131521105	131522533
UGP2	ENST00000495020	2	63856764	63884018
UGCG	ENST00000495085	9	111897201	111929666
NEU1	ENST00000495201	CHR_HSCHR6_MHC_APD_CTG1	31926075	31929839
GCNT2	ENST00000495262	6	10521283	10629368
DPM2	ENST00000495270	9	127935099	127937826
ALG13	ENST00000495283	X	111681198	111760016
ARSD	ENST00000495294	X	2906156	2929349
NANS	ENST00000495319	9	98056768	98078304
NEU1	ENST00000495330	CHR_HSCHR6_MHC_QBL_CTG1	31849431	31853184
ST3GAL6	ENST00000495376	3	98763348	98783739
SULT1C2	ENST00000495441	2	108298973	108308713
CTNS	ENST00000495445	17	3636747	3647604
RPN1	ENST00000495462	3	128632121	128651529
NEU1	ENST00000495464	CHR_HSCHR6_MHC_APD_CTG1	31926075	31929845
MAN2B1	ENST00000495617	19	12656659	12659010
GMPPB	ENST00000495627	3	49722992	49723916
CHPF2	ENST00000495645	7	151232489	151238819
SLC35B2	ENST00000495706	6	44254096	44257554
NEU1	ENST00000495807	6	31857659	31862796
ALG14	ENST00000495856	1	95035821	95072874
GAL3ST4	ENST00000495882	7	100159244	100168112
ST6GALNAC4	ENST00000495983	9	127908318	127914762
B3GALNT1	ENST00000496295	3	161084725	161105305
B4GALT3	ENST00000496313	1	161174995	161177468
UGP2	ENST00000496334	2	63842381	63883984
GALNT14	ENST00000496397	2	30955730	31129377
MAN1C1	ENST00000496532	1	25772069	25782700
EOGT	ENST00000496647	3	68975232	69001641
ALG5	ENST00000496689	13	36985649	37000261
ST6GALNAC5	ENST00000496845	1	76867482	76869074
ST3GAL6	ENST00000497008	3	98732475	98788195
RPN1	ENST00000497289	3	128620159	128681075
RPN1	ENST00000497415	3	128641046	128650816
POMGNT1	ENST00000497439	1	46194582	46198360
POGLUT1	ENST00000497447	3	119468963	119490667
UGP2	ENST00000497510	2	63840971	63882601
UXS1	ENST00000497604	2	106093308	106102952
ST3GAL6	ENST00000497621	3	98732714	98794393
GBA	ENST00000497670	1	155236396	155239962
NAGK	ENST00000497690	2	71068278	71070619
GLB1	ENST00000497796	3	33014143	33034672
B4GALT2	ENST00000497866	1	43979237	43981923
UGP2	ENST00000497883	2	63842106	63884067
GAL3ST4	ENST00000498000	7	100160729	100168142
GALNT14	ENST00000498206	2	30966277	31126861
B3GALNT1	ENST00000498216	3	161086593	161104950
GALNT17	ENST00000498380	7	71283996	71713600
GLB1	ENST00000498537	3	33046144	33097142
B4GALT2	ENST00000498543	1	43978943	43981327
OGT	ENST00000498566	X	71533300	71546280
SLC35F5	ENST00000498768	2	113741909	113756587
GNPDA1	ENST00000500692	5	142000674	142013030
UGDH	ENST00000501493	4	39498763	39527437
SLC35B1	ENST00000502268	17	49703233	49707067
AGA	ENST00000502310	4	177433261	177439624
UGT2A1	ENST00000502343	4	69589607	69603613
SLC35B1	ENST00000502406	17	49701321	49708166
B4GALT7	ENST00000502420	5	177600132	177608214
PAPSS1	ENST00000502431	4	107659960	107720023
RACK1	ENST00000502548	5	181239038	181243904
UGT2B4	ENST00000502655	4	69485208	69526014
MGAT1	ENST00000502678	5	180792662	180808758
IDUA	ENST00000502829	4	1002741	1003389
RACK1	ENST00000502844	5	181238124	181243370
RACK1	ENST00000502890	5	181239070	181241880
RACK1	ENST00000502905	5	181236929	181242206
IDUA	ENST00000502910	4	987044	1002003
RACK1	ENST00000503081	5	181239150	181243906
RACK1	ENST00000503170	5	181242250	181243904
GALNT7	ENST00000503213	4	173304019	173318660
GNPDA1	ENST00000503229	5	142005112	142013027
HEXB	ENST00000503312	5	74716629	74722616
SLC35B1	ENST00000503334	17	49702892	49708163
RACK1	ENST00000503494	5	181239071	181243881
GFPT2	ENST00000503546	5	180335869	180353336
NAAA	ENST00000503636	4	75939970	75941011
UGT2A1	ENST00000503640	4	69588417	69647700
UGDH	ENST00000503779	4	39510709	39527437
GNPDA1	ENST00000503794	5	142000678	142012973
UGT2B4	ENST00000503836	4	69489478	69526014
MAN2A1	ENST00000503970	5	109862328	109869625
RACK1	ENST00000504128	5	181236937	181241639
GNPDA1	ENST00000504139	5	142002086	142013031
SLC35B1	ENST00000504260	17	49701287	49707771
RACK1	ENST00000504325	5	181236926	181243889
GNPDA1	ENST00000504424	5	142011949	142012996
HEXB	ENST00000504459	5	74713538	74720836
IDUA	ENST00000504568	4	987087	1001715
MGAT1	ENST00000504671	5	180792373	180802794
B4GALNT2	ENST00000504681	17	49132460	49169989
RACK1	ENST00000504726	5	181236941	181243891
NDST4	ENST00000504854	4	114827786	115113777
HK3	ENST00000504910	5	176889661	176891391
PAPSS1	ENST00000504987	4	107693840	107720213
B4GALT7	ENST00000505145	5	177605791	177610266
MANBA	ENST00000505239	4	102631988	102760933
GALNT7	ENST00000505308	4	173292131	173322011
MAN2A1	ENST00000505313	5	109854922	109865415
B4GALT7	ENST00000505433	5	177600162	177609707
RACK1	ENST00000505461	5	181240957	181243914
B4GALT7	ENST00000505468	5	177600230	177607338
UGT2A1	ENST00000505512	4	69647170	69653247
NAAA	ENST00000505594	4	75919342	75940260
GNPDA1	ENST00000505689	5	142002090	142013041
UGDH	ENST00000505698	4	39514093	39528311
UGDH	ENST00000506179	4	39498788	39526557
MGAT1	ENST00000506269	5	180792638	180803399
RACK1	ENST00000506312	5	181239134	181243902
GALNT7	ENST00000506317	4	173298036	173314037
MANBA	ENST00000506478	4	102722373	102723884
PAPSS1	ENST00000506544	4	107687129	107694298
IDUA	ENST00000506561	4	987076	1001179
UGT2B4	ENST00000506580	4	69480330	69495895
HK3	ENST00000506834	5	176880869	176888647
AGA	ENST00000506853	4	177434384	177442409
MGAT1	ENST00000506889	5	180792511	180810127
RACK1	ENST00000507000	5	181238170	181248096
B4GALT7	ENST00000507061	5	177604312	177605224
UGDH	ENST00000507089	4	39499911	39527439
GNPDA1	ENST00000507107	5	142006036	142013027
HPSE	ENST00000507150	4	83295320	83335153
NAAA	ENST00000507187	4	75934891	75940983
RACK1	ENST00000507261	5	181241437	181243902
RACK1	ENST00000507273	5	181236937	181237860
MANBA	ENST00000507358	4	102753691	102760994
ST8SIA4	ENST00000507360	5	100886352	100890882
SLC35B1	ENST00000507477	17	49701328	49703990
GNPDA1	ENST00000507559	5	142004875	142006314
XYLT2	ENST00000507602	17	50346135	50363138
UGT8	ENST00000507710	4	114598770	114623305
ALG14	ENST00000507727	1	94983550	95027203
RACK1	ENST00000507756	5	181236929	181242246
SLC35B1	ENST00000507773	17	49701339	49708090
NAAA	ENST00000507940	4	75936164	75940224
NAAA	ENST00000507956	4	75917467	75940973
IDUA	ENST00000508168	4	987066	1001138
GNPDA1	ENST00000508177	5	142000678	142012794
SLC35B1	ENST00000508520	17	49703197	49708169
SLC35B1	ENST00000508607	17	49706076	49707920
RACK1	ENST00000508682	5	181236937	181243902
SLC35B1	ENST00000508749	17	49701328	49703138
HPSE	ENST00000508891	4	83295320	83335153
ST8SIA1	ENST00000508924	12	22201661	22268605
SLC35B1	ENST00000508926	17	49705072	49706355
RACK1	ENST00000508963	5	181241443	181243903
RACK1	ENST00000509148	5	181236929	181238195
UGDH	ENST00000509391	4	39510736	39527437
RACK1	ENST00000509535	5	181236937	181239584
HK3	ENST00000509717	5	176887066	176891538
XYLT2	ENST00000509778	17	50346131	50353674
SLC35B1	ENST00000509781	17	49705868	49707964
HPSE	ENST00000509906	4	83295320	83335153
IDUA	ENST00000509948	4	991872	1001825
UGT2B4	ENST00000510114	4	69495699	69526014
GNPDA1	ENST00000510194	5	142005044	142012996
RACK1	ENST00000510199	5	181238120	181247576
AGA	ENST00000510635	4	177434440	177439665
HS3ST1	ENST00000510712	4	11399758	11429564
B4GALT7	ENST00000510761	5	177600206	177607357
HEXB	ENST00000510820	5	74693475	74705257
SULT1B1	ENST00000510821	4	69734173	69760598
UGDH	ENST00000510881	4	39510697	39527915
AGA	ENST00000510955	4	177437068	177442409
HEXB	ENST00000511181	5	74640023	74721288
AGA	ENST00000511231	4	177440042	177442409
UGT2B28	ENST00000511240	4	69280499	69295050
PAPSS1	ENST00000511304	4	107653493	107720222
RACK1	ENST00000511473	5	181236909	181243916
RACK1	ENST00000511566	5	181236934	181243880
NAAA	ENST00000511606	4	75913969	75921027
SLC35B1	ENST00000511657	17	49705222	49709014
SLC35B1	ENST00000511763	17	49704152	49707940
MANBA	ENST00000511813	4	102723874	102760983
RACK1	ENST00000511900	5	181236945	181243880
HPSE	ENST00000512196	4	83295320	83335153
GALNT7	ENST00000512285	4	173168811	173298371
UGT2B4	ENST00000512583	4	69480165	69495861
PAPSS1	ENST00000512641	4	107693770	107720117
MGAT1	ENST00000512695	5	180792625	180803481
UGT2A1	ENST00000512704	4	69588422	69647761
RACK1	ENST00000512805	5	181236897	181243906
SULT1B1	ENST00000512870	4	69754670	69787961
RACK1	ENST00000512968	5	181237020	181243893
RACK1	ENST00000513027	5	181239539	181243904
NAAA	ENST00000513045	4	75914305	75925811
RACK1	ENST00000513060	5	181236961	181243947
HEXB	ENST00000513079	5	74685196	74706168
HYAL3	ENST00000513170	3	50293045	50299232
HEXB	ENST00000513336	5	74715586	74721288
MGAT1	ENST00000513431	5	180792686	180815567
GNPDA1	ENST00000513454	5	141991749	142013027
HPSE	ENST00000513463	4	83295344	83334782
SLC35B1	ENST00000513508	17	49703838	49705365
HEXB	ENST00000513539	5	74718291	74721287
MAN2A1	ENST00000513921	5	109853581	109867173
UGT2A1	ENST00000514019	4	69589194	69653249
HK3	ENST00000514058	5	176881956	176884134
UGDH	ENST00000514106	4	39510667	39527900
RACK1	ENST00000514183	5	181238206	181243742
IDUA	ENST00000514192	4	991825	1002069
SLC35A4	ENST00000514199	5	140564891	140569100
IDUA	ENST00000514224	4	987044	1004564
MGAT1	ENST00000514283	5	180792590	180803923
RACK1	ENST00000514318	5	181243042	181243908
UGT2A1	ENST00000514341	4	69596317	69599761
MANBA	ENST00000514430	4	102631488	102760941
MGAT1	ENST00000514438	5	180792658	180815580
RACK1	ENST00000514455	5	181236928	181238663
PAPSS1	ENST00000514489	4	107687112	107720226
NDST4	ENST00000514570	4	114935048	115113849
HS3ST1	ENST00000514690	4	11399758	11428597
IDUA	ENST00000514698	4	987044	1004505
SLC35B1	ENST00000514907	17	49704100	49708157
UGDH	ENST00000515021	4	39510511	39527564
B4GALT7	ENST00000515353	5	177607365	177610328
UGDH	ENST00000515398	4	39510815	39528233
RACK1	ENST00000515417	5	181239323	181243872
HEXB	ENST00000515528	5	74685206	74689849
GNPDA1	ENST00000515747	5	142003218	142005441
SLC35B1	ENST00000515850	17	49704111	49707949
GALNT7	ENST00000515862	4	173315841	173323127
ASAH1	ENST00000517409	8	18061390	18063624
CSGALNACT1	ENST00000517494	8	19505545	19758029
ST3GAL1	ENST00000517668	8	133464931	133571925
EXTL3	ENST00000517738	8	28730160	28750724
FUT10	ENST00000517942	8	33372079	33389250
GALNT10	ENST00000517958	5	154403777	154419033
FUT10	ENST00000518076	8	33388963	33455821
ASAH1	ENST00000518087	8	18066763	18084073
GFPT2	ENST00000518158	5	180331412	180353336
MGAT4B	ENST00000518168	5	179801334	179806952
CSGALNACT1	ENST00000518542	8	19420383	19495191
FUT10	ENST00000518672	8	33371061	33461727
MGAT4B	ENST00000518702	5	179799296	179800997
ASAH1	ENST00000518746	8	18056538	18063847
MGAT4B	ENST00000518778	5	179797597	179801367
MGAT4B	ENST00000518867	5	179798407	179800945
MGAT4B	ENST00000518980	5	179797946	179800939
ALG11	ENST00000519151	13	52020569	52028749
NDST1	ENST00000519157	5	150486294	150521731
CSGALNACT1	ENST00000519222	8	19439877	19602759
ASAH1	ENST00000519468	8	18059572	18084064
GALNT10	ENST00000519544	5	154376317	154406256
ASAH1	ENST00000519545	8	18061408	18075682
GALNT10	ENST00000519571	5	154287470	154376367
MGAT4B	ENST00000519616	5	179801807	179806324
MGAT4B	ENST00000519836	5	179797610	179801909
ST3GAL1	ENST00000519924	8	133475877	133489700
CSGALNACT1	ENST00000520003	8	19505674	19602495
ASAH1	ENST00000520051	8	18075585	18084944
MGAT4B	ENST00000520134	5	179801375	179806330
GFPT2	ENST00000520165	5	180316764	180324486
FUT10	ENST00000520503	8	33453382	33473091
GALNT10	ENST00000520647	5	154190735	154419012
EXTL3	ENST00000520679	8	28743976	28751094
FUT10	ENST00000520767	8	33388896	33473134
ASAH1	ENST00000520781	8	18056452	18084108
MGAT4B	ENST00000520822	5	179799506	179800589
MGAT4B	ENST00000520875	5	179798165	179800597
MGAT4B	ENST00000520918	5	179799980	179802115
FUT10	ENST00000520935	8	33453074	33455832
MGAT4B	ENST00000520969	5	179797671	179799636
ARSB	ENST00000521117	5	78985112	78985838
ST3GAL1	ENST00000521180	8	133454853	133571925
MGAT4B	ENST00000521305	5	179800484	179803776
EXTL3	ENST00000521473	8	28718060	28750836
HS6ST2	ENST00000521489	X	132627970	132961395
ALG11	ENST00000521508	13	52012398	52033600
EXTL3	ENST00000521532	8	28710358	28743183
ASAH1	ENST00000521542	8	18059601	18061696
IDS	ENST00000521702	X	149503471	149521096
GALNT10	ENST00000521781	5	154190997	154376420
GALNT10	ENST00000521786	5	154190748	154219674
ARSB	ENST00000521800	5	78884294	78955374
MGAT4B	ENST00000521855	5	179799724	179800431
SULF1	ENST00000521946	8	69592910	69659408
ST3GAL1	ENST00000522204	8	133465642	133475934
MGAT4B	ENST00000522293	5	179797884	179799576
ST3GAL1	ENST00000522652	8	133454848	133571887
EXTL3	ENST00000522698	8	28716685	28743164
CSGALNACT1	ENST00000522854	8	19405780	19601865
FUT2	ENST00000522966	19	48695971	48704294
GM2A	ENST00000523004	5	151259799	151267255
MGAT4B	ENST00000523108	5	179799512	179806334
EXTL3	ENST00000523149	8	28622729	28750903
CSGALNACT1	ENST00000523262	8	19505523	19757938
EXTL3	ENST00000523271	8	28739901	28755599
MGAT4B	ENST00000523329	5	179800938	179806554
ST8SIA4	ENST00000523381	5	100895662	100903224
MGAT4B	ENST00000523382	5	179798165	179801389
GM2A	ENST00000523466	5	151212150	151266880
ASAH1	ENST00000523593	8	18062353	18084077
ST3GAL1	ENST00000523634	8	133475809	133489640
ASAH1	ENST00000523744	8	18062932	18068671
ALG11	ENST00000523764	13	52012398	52029657
NDST1	ENST00000523767	5	150497778	150553714
ST3GAL1	ENST00000523854	8	133464778	133499383
ST3GAL1	ENST00000523855	8	133475884	133499361
FUT10	ENST00000524021	8	33372264	33473119
CSGALNACT1	ENST00000524213	8	19505792	19757305
GANAB	ENST00000524437	11	62634571	62639471
B4GALNT4	ENST00000524443	11	375461	376108
NAGK	ENST00000524537	2	71073537	71078633
COG4	ENST00000524584	16	70512374	70523518
STT3A	ENST00000524639	11	125609419	125613151
DPAGT1	ENST00000524658	11	119097337	119098435
TSTA3	ENST00000524719	8	143612618	143613607
NAGK	ENST00000524736	2	71070513	71077636
FUT6	ENST00000524754	19	5830610	5839692
B3GAT1	ENST00000524765	11	134381645	134392353
ST3GAL4	ENST00000524834	11	126406503	126440344
ST3GAL4	ENST00000524860	11	126406782	126413997
FPGT	ENST00000524915	1	74198240	74234086
ALG8	ENST00000524925	11	78106810	78114376
SLC35F2	ENST00000524991	11	107806845	107858799
SLC35F2	ENST00000525071	11	107790991	107928293
TSTA3	ENST00000525274	8	143614405	143616726
STT3A	ENST00000525431	11	125606210	125608404
DPAGT1	ENST00000525456	11	119097263	119101128
LARGE2	ENST00000525609	11	45924454	45926552
ALG8	ENST00000525755	11	78112667	78139624
ALG8	ENST00000525761	11	78124021	78139630
ALG8	ENST00000525783	11	78100945	78112751
SLC35F2	ENST00000525815	11	107790991	107858787
ALG8	ENST00000525870	11	78112766	78139619
GANAB	ENST00000525994	11	62633442	62646632
SULF1	ENST00000525999	8	69563862	69586460
NEU3	ENST00000526068	11	74988925	74990163
GANAB	ENST00000526210	11	62634753	62646613
STT3A	ENST00000526213	11	125602757	125606465
SMPD1	ENST00000526280	11	6391877	6394998
TSTA3	ENST00000526290	8	143614821	143618048
ST3GAL4	ENST00000526311	11	126392175	126407627
SULT1A2	ENST00000526384	16	28593270	28596295
GANAB	ENST00000526392	11	62634789	62646606
COG4	ENST00000526700	16	70480578	70508757
STT3A	ENST00000526726	11	125606413	125613070
ST3GAL4	ENST00000526727	11	126405782	126414638
GANAB	ENST00000526732	11	62632593	62633930
ALG8	ENST00000526737	11	78100966	78139649
ST3GAL4	ENST00000526756	11	126405587	126408498
SULF1	ENST00000526808	8	69564096	69586508
SLC35C1	ENST00000526817	11	45804086	45806056
ALG8	ENST00000526849	11	78100946	78109526
TSTA3	ENST00000527006	8	143614863	143616464
GAL3ST3	ENST00000527048	11	66044991	66049151
ALG8	ENST00000527099	11	78114266	78139626
FUT6	ENST00000527106	19	5830626	5838760
SMPD1	ENST00000527275	11	6390475	6394778
